time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
114,193,True,7.0,0.8,85,517.0,190.8,110,584.9623364378855,7885419579,1,1
115,176,True,7.0,0.8,85,524.0,190.8,111,592.0445718913963,7885419579,1,1
116,161,True,7.0,0.9,85,531.0,190.9,111,599.1950813015466,7885419579,1,1
117,157,True,7.0,0.9,85,538.0,190.9,111,606.3455907116968,7885419579,1,1
118,151,True,7.0,1.1,85,545.0,191.1,111,613.4883755985923,7885419579,1,1
119,152,True,7.0,1.1,85,552.0,191.1,111,620.6311604854877,7885419579,1,1
120,151,True,7.2,0.9,83,560.0,191.2,111,628.7199810679948,7885419579,1,1
121,146,True,7.2,0.9,82,567.0,191.2,111,635.7976990776884,7885419579,1,1
122,146,True,7.2,0.8,83,574.0,191.3,111,642.9482084878387,7885419579,1,1
123,146,True,7.2,0.8,83,581.0,191.3,111,650.0987178979889,7885419579,1,1
124,139,True,7.2,1.1,82,588.0,191.5,111,657.2664589369382,7885419579,1,1
125,137,True,7.0,1.1,82,595.0,191.5,111,664.4341999758875,7885419579,1,1
126,133,True,6.6,1.0,82,600.0,191.6,112,669.5001377103017,7885419579,1,1
127,126,True,6.6,1.0,81,607.0,191.6,112,676.5924505384816,7885419579,1,1
128,0,True,6.6,0.4,15,614.0,191.7,112,683.627460743204,7885419579,1,1
129,0,True,6.6,1.1,0,621.0,191.7,113,690.7952017821533,7885419579,1,1
130,0,True,6.2,0.7000000000000001,0,626.0,191.7,113,695.8742839183097,7885419579,1,1
131,55,True,6.6,1.5,65,633.0,191.9,112,703.1623032520488,7885419579,1,1
132,40,True,6.0,3.4,74,637.0,191.9,112,707.6139841986778,7885419579,1,1
133,61,True,6.2,4.6,76,645.0,192.1,111,716.9740954493834,7885419579,1,1
134,61,True,6.2,4.9,77,652.0,192.6,110,725.2360743879509,7885419579,1,1
135,0,True,6.0,4.8,21,656.0,193.0,110,729.9194160290385,7885419579,1,1
136,0,True,6.0,3.0,5,663.0,193.2,110,737.5954069299643,7885419579,1,1
137,0,True,6.6,1.3,0,670.0,193.3,110,744.7631479689136,7885419579,1,1
138,0,True,6.0,0.5,0,675.0,193.3,109,749.7881552580011,7885419579,1,1
139,0,True,6.0,0.0,0,682.0,193.3,108,756.7881552580011,7885419579,1,1
140,0,True,6.6,0.0,0,689.0,193.3,107,763.7881552580011,7885419579,1,1
141,0,True,6.6,-0.6000000000000001,0,696.0,193.3,107,770.7181563717637,7885419579,1,1
142,0,True,6.2,-1.2,0,701.0,193.3,105,775.6281208598282,7885419579,1,1
143,0,True,6.6,-2.2,0,708.0,193.1,104,782.2949657107685,7885419579,1,1
144,0,True,6.6,-2.8,0,715.0,193.0,102,788.8615699169246,7885419579,1,1
145,0,True,6.6,-3.3,0,722.0,192.7,101,795.3864472657428,7885419579,1,1
146,0,True,7.2,-4.0,0,732.0,192.4,98,804.5939591120473,7885419579,1,1
147,0,True,7.6,-4.1,0,739.0,192.1,97,811.0313777495946,7885419579,1,1
148,0,True,7.6,-4.3,0,746.0,191.8,95,817.4340779155933,7885419579,1,1
149,0,True,8.0,-4.1,0,755.0,191.4,94,825.7018314140416,7885419579,1,1
150,0,True,8.6,-3.9,0,765.0,191.0,93,834.8968385476976,7885419579,1,1
151,0,True,8.4,-4.3,0,774.0,190.7,93,843.0948157495675,7885419579,1,1
152,0,True,9.0,-5.0,0,784.0,190.3,93,852.1279385072611,7885419579,1,1
153,0,True,9.4,-6.1,0,793.0,189.7,92,860.1401493237142,7885419579,1,1
154,0,True,9.6,-6.9,0,803.0,189.1,92,868.953421718597,7885419579,1,1
155,0,True,9.4,-7.9,0,812.0,188.4,92,876.8536509047909,7885419579,1,1
156,0,True,10.0,-8.4,0,824.0,187.5,91,887.3674285552182,7885419579,1,1
157,0,True,9.8,-7.8,0,833.0,186.6,90,895.2616372339762,7885419579,1,1
158,0,True,9.4,-9.0,0,840.0,186.1,89,901.3822487119471,7885419579,1,1
159,0,True,9.4,-9.5,0,850.0,185.4,89,910.1276058650573,7885419579,1,1
160,0,True,8.6,-10.0,0,855.0,184.7,88,914.5067598960538,7885419579,1,1
161,0,True,7.0,-11.0,0,859.0,184.1,87,918.032386585425,7885419579,1,1
162,0,True,6.2,-8.0,0,864.0,183.6,86,922.4134246864678,7885419579,1,1
163,0,True,5.8,-6.0,0,869.0,183.3,85,926.8714092866066,7885419579,1,1
164,0,True,5.2,-4.4,0,876.0,183.0,85,933.2827890704925,7885419579,1,1
165,0,True,5.2,-3.8,0,881.0,182.8,83,937.8885756734766,7885419579,1,1
166,0,True,5.8,-4.7,8,888.0,182.6,82,944.2791998493715,7885419579,1,1
167,0,True,6.2,-4.4,0,895.0,182.3,81,950.6769402337204,7885419579,1,1
168,0,True,6.0,-5.5,0,899.0,182.0,80,954.2688446998771,7885419579,1,1
169,0,True,6.6,-4.4,0,909.0,181.6,78,963.4174668310593,7885419579,1,1
170,0,True,6.6,-5.2,10,914.0,181.2,77,967.8981471392204,7885419579,1,1
171,60,True,6.6,-6.4,78,921.0,181.2,77,974.0989538280186,7885419579,1,1
172,92,True,6.6,-5.6,80,928.0,180.4,78,980.3493486481843,7885419579,1,1
173,177,True,6.6,-8.0,79,932.0,180.1,78,983.8511170644633,7885419579,1,1
174,213,True,6.2,-6.0,79,940.0,179.7,78,991.0052291106263,7885419579,1,1
175,226,True,6.0,-4.9,81,944.0,179.3,79,994.6184782137037,7885419579,1,1
176,215,True,6.0,-3.3,81,951.0,179.1,79,1001.1106997611271,7885419579,1,1
177,178,True,5.6,-0.8,81,956.0,178.9,80,1006.0538689141645,7885419579,1,1
178,146,True,6.2,1.3,82,963.0,178.9,81,1013.241713520046,7885419579,1,1
179,132,True,5.6,2.6,84,968.0,179.1,84,1018.6549071467222,7885419579,1,1
180,79,True,6.2,3.1,83,975.0,179.4,86,1026.3400541081019,7885419579,1,1
181,96,True,6.2,1.9,87,982.0,179.6,87,1033.701682955559,7885419579,1,1
182,115,True,6.6,0.7000000000000001,92,989.0,179.7,89,1040.771240421583,7885419579,1,1
183,114,True,7.2,-0.8,92,999.0,179.7,90,1050.6289772798991,7885419579,1,1
184,0,True,7.6,-1.8,0,1006.0,179.6,91,1057.4292952814678,7885419579,1,1
185,0,True,7.6,-3.0,0,1013.0,179.3,91,1064.0018604672437,7885419579,1,1
186,0,True,7.6,-3.5,0,1020.0,179.2,91,1070.4820304689142,7885419579,1,1
187,0,True,7.6,-3.4,66,1027.0,178.9,91,1077.0083980626373,7885419579,1,1
188,0,True,7.0,-3.6,66,1034.0,178.6,91,1083.4885680643079,7885419579,1,1
189,0,True,7.0,-3.1,0,1041.0,178.4,89,1090.014935658031,7885419579,1,1
190,0,True,7.0,-2.1,0,1048.0,178.2,88,1096.7112104231062,7885419579,1,1
191,0,True,7.0,-1.3,0,1055.0,178.0,87,1103.5460925614695,7885419579,1,1
192,0,True,7.0,-0.5,0,1062.0,178.0,86,1110.4760936752323,7885419579,1,1
193,0,True,7.0,0.0,0,1069.0,178.0,85,1117.4760936752323,7885419579,1,1
194,0,True,6.6,0.0,0,1074.0,178.0,84,1122.4760936752323,7885419579,1,1
195,0,True,6.6,0.0,0,1081.0,178.0,83,1129.4760936752323,7885419579,1,1
196,0,True,6.6,0.0,0,1088.0,178.0,82,1136.4760936752323,7885419579,1,1
197,0,True,6.2,0.6000000000000001,0,1093.0,178.0,81,1141.5103141760887,7885419579,1,1
198,0,True,5.8,0.6000000000000001,0,1098.0,178.0,81,1146.5525404406933,7885419579,1,1
199,0,True,5.2,0.8,35,1100.0,178.1,80,1148.5760362845535,7885419579,1,1
200,0,True,4.8,1.0,38,1105.0,178.1,80,1153.660296518366,7885419579,1,1
201,52,True,3.8,0.0,46,1107.0,178.1,80,1155.660296518366,7885419579,1,1
202,137,True,3.2,0.0,60,1109.0,178.1,81,1157.660296518366,7885419579,1,1
