,moving,velocity_smooth,grade_smooth,distance,altitude,heartrate,time,grade_adjusted_distance,activity_id,label,mtb
0,True,6.32,2.1,225.3,517.2,110,97,247.0404269962899,8053439026,1,1
1,True,6.538,2.8,232.0,517.2,113,98,254.3135175610704,8053439026,1,1
2,True,6.574,4.1,238.8,517.4,112,99,262.0670197899345,8053439026,1,1
3,True,6.638,5.4,265.2,518.4,113,103,293.6683488351701,8053439026,1,1
4,True,6.411,7.1,283.7,519.6,113,106,317.4579402148292,8053439026,1,1
5,True,6.056,10.4,295.5,520.6,116,108,334.988983512602,8053439026,1,1
6,True,5.87,13.2,306.3,522.2,119,110,353.3356306290687,8053439026,1,1
7,True,5.53,14.7,311.4,523.2,119,111,362.6015799272318,8053439026,1,1
8,True,5.2,11.1,321.5,524.6,120,113,378.1512971986496,8053439026,1,1
9,True,5.2,9.1,332.3,526.0,122,115,393.3265159585738,8053439026,1,1
10,True,5.574,6.8,349.4,527.0,121,118,415.0652803987919,8053439026,1,1
11,True,5.608,5.6,355.2,527.2,121,119,422.0722406711049,8053439026,1,1
12,True,5.546,5.7,377.1,528.4,122,123,448.69269799113164,8053439026,1,1
13,True,5.44,6.3,382.4,528.8,123,124,455.28993496138975,8053439026,1,1
14,True,5.425,6.6,387.7,529.2,123,125,461.9689342592513,8053439026,1,1
15,True,5.436,7.3,393.2,529.6,123,126,469.0922413324494,8053439026,1,1
16,True,5.438,6.5,404.3,530.2,123,128,483.029586858429,8053439026,1,1
17,True,5.514,6.1,409.9,530.8,123,129,489.9404605185849,8053439026,1,1
18,True,5.628,6.0,421.4,531.4,123,131,504.0625844528509,8053439026,1,1
19,True,5.65,5.4,432.5,532.0,123,133,517.3459744496238,8053439026,1,1
20,True,5.51,4.9,454.4,533.2,124,137,543.1034219433964,8053439026,1,1
21,True,5.572,4.6,466.0,533.8,125,139,556.5790999062398,8053439026,1,1
22,True,5.734,4.8,478.4,534.2,133,141,571.0751453820023,8053439026,1,1
23,True,6.032,5.5,484.6,534.4,133,142,578.5510945542568,8053439026,1,1
24,True,6.09,6.1,496.4,535.2,137,144,593.1226874752689,8053439026,1,1
25,True,6.025,6.0,502.1,535.8,138,145,600.1346207136878,8053439026,1,1
26,True,5.882,6.0,507.8,536.0,138,146,607.1431654066506,8053439026,1,1
27,True,5.586,6.1,524.4,536.8,138,149,627.6381121691414,8053439026,1,1
28,True,5.293,6.8,539.6,537.8,138,152,646.963846634568,8053439026,1,1
29,True,5.257,8.2,544.6,538.4,138,153,653.6936801537829,8053439026,1,1
30,True,5.035,8.3,554.6,539.2,138,155,667.2503992053859,8053439026,1,1
31,True,4.7780000000000005,8.0,568.5,540.4,139,158,685.8149339286399,8053439026,1,1
32,True,4.678,7.7,578.0,541.0,139,160,698.3552260373796,8053439026,1,1
33,True,4.659,6.2,587.2,541.8,139,162,709.7608747880126,8053439026,1,1
34,True,4.674,6.0,601.3,542.8,138,165,727.0871606258918,8053439026,1,1
35,True,4.905,6.0,626.4,544.0,139,170,757.8730406619605,8053439026,1,1
36,True,4.987,4.9,631.3,544.2,139,171,763.6386214010098,8053439026,1,1
37,True,4.945,5.1,640.9,545.0,138,173,775.0274725753654,8053439026,1,1
38,True,5.01,5.9,666.3,546.0,137,178,806.05380418086,8053439026,1,1
39,True,5.011,6.1,681.0,546.8,137,181,824.1754730785602,8053439026,1,1
40,True,5.001,7.6,685.9,547.4,137,182,830.6073192876136,8053439026,1,1
41,True,4.83,8.0,700.1,548.6,137,185,849.5877451778265,8053439026,1,1
42,True,4.658,7.0,713.8,549.6,137,188,867.0943044799329,8053439026,1,1
43,True,4.656,5.9,718.5,549.8,137,189,872.8346610567706,8053439026,1,1
44,True,4.742,5.2,737.6,551.0,137,193,895.5679059283907,8053439026,1,1
45,True,4.895,5.5,747.9,551.4,137,195,907.9605252206557,8053439026,1,1
46,True,5.236,5.0,763.7,552.2,137,198,926.5812127000737,8053439026,1,1
47,True,5.076,5.6,773.2,552.8,137,200,938.0622328377622,8053439026,1,1
48,True,5.0,6.4,777.9,553.0,137,201,943.932840167383,8053439026,1,1
49,True,4.692,7.4,787.2,553.6,138,203,956.037086027248,8053439026,1,1
50,True,4.66,8.0,801.2,554.6,139,206,974.7699086956525,8053439026,1,1
51,True,4.643,7.9,805.7,555.2,139,207,980.7699992018122,8053439026,1,1
52,True,4.61,9.2,810.3,555.6,139,208,987.2400937977342,8053439026,1,1
53,True,4.623,7.9,814.9,555.8,139,209,993.3568635227304,8053439026,1,1
54,True,4.768,6.2,829.6,557.2,138,212,1011.5386758869569,8053439026,1,1
55,True,4.746,6.3,838.7,557.8,138,214,1022.8450036860388,8053439026,1,1
56,True,4.588,5.2,852.5,558.2,137,217,1039.2497729571842,8053439026,1,1
57,True,4.61,5.2,875.5,559.6,137,222,1066.5870546672193,8053439026,1,1
58,True,4.542,5.5,879.8,559.8,137,223,1071.7596550908613,8053439026,1,1
59,True,4.473,5.6,892.8,560.6,136,226,1087.4517877795533,8053439026,1,1
