time,watts,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,grade_adjusted_distance,activity_id,label,mtb
36237,137,True,5.2,8.9,55,20591.0,447.0,20621.32743961132,8681879462,1,1
36238,138,True,5.2,8.1,56,20595.0,447.5,20626.71554142363,8681879462,1,1
36239,138,True,4.8,8.8,56,20600.0,447.9,20633.69905925713,8681879462,1,1
36240,136,True,5.2,8.7,56,20606.0,448.4,20641.89015727184,8681879462,1,1
36241,139,True,5.4,7.9,55,20611.0,448.8,20648.495587755988,8681879462,1,1
36242,141,True,4.8,8.6,55,20615.0,449.2,20653.95631976579,8681879462,1,1
36243,140,True,5.4,8.8,56,20622.0,449.6,20663.51260078295,8681879462,1,1
36244,136,True,5.2,8.2,55,20626.0,450.1,20668.90070259526,8681879462,1,1
36245,134,True,5.0,9.3,55,20631.0,450.5,20676.042981862858,8681879462,1,1
36246,134,True,5.2,9.5,54,20637.0,451.0,20684.613716983975,8681879462,1,1
36247,133,True,5.4,10.1,54,20642.0,451.5,20692.091421547073,8681879462,1,1
36248,132,True,4.8,9.7,54,20646.0,452.0,20697.805244961153,8681879462,1,1
36249,133,True,4.8,10.0,54,20650.0,452.5,20703.64607752251,8681879462,1,1
36250,138,True,5.2,9.3,53,20657.0,452.9,20713.423002489413,8681879462,1,1
36251,144,True,4.8,9.0,54,20661.0,453.4,20719.009816756214,8681879462,1,1
36252,145,True,4.8,8.9,54,20666.0,453.8,20725.993334589715,8681879462,1,1
36253,146,True,4.8,8.8,54,20670.0,454.3,20731.45406659952,8681879462,1,1
36254,148,True,5.4,8.8,53,20677.0,454.7,20741.230991566423,8681879462,1,1
36255,149,True,4.8,8.9,54,20681.0,455.1,20746.691723576227,8681879462,1,1
36256,147,True,5.0,8.8,54,20686.0,455.6,20753.67524140973,8681879462,1,1
36257,144,True,4.8,8.6,55,20690.0,456.0,20759.26205567653,8681879462,1,1
36258,140,True,5.4,8.8,54,20697.0,456.5,20769.015584221564,8681879462,1,1
36259,138,True,4.8,8.3,53,20701.0,456.9,20774.47631623137,8681879462,1,1
36260,135,True,4.8,8.8,53,20705.0,457.3,20779.919027214728,8681879462,1,1
36261,139,True,4.8,8.6,53,20710.0,457.7,20786.744942226986,8681879462,1,1
36262,139,True,5.2,8.7,53,20716.0,458.1,20794.936040241693,8681879462,1,1
36263,137,True,4.8,8.9,54,20721.0,458.6,20801.919558075195,8681879462,1,1
36264,134,True,4.8,9.0,53,20725.0,459.0,20807.506372341995,8681879462,1,1
