time,moving,velocity_smooth,grade_smooth,distance,altitude,grade_adjusted_distance,activity_id,label,mtb
94,True,5.7940000000000005,0.9,276.2,41.2,285.6958176112377,8731214517,1,0
95,True,5.808,1.3,282.2,41.3,291.8645517966766,8731214517,1,0
96,True,5.802,1.3,287.8,41.3,297.6211087675306,8731214517,1,0
97,True,5.84,0.9,293.5,41.4,303.41070020928913,8731214517,1,0
98,True,5.844,1.3,299.5,41.5,309.579434394728,8731214517,1,0
99,True,5.822,0.9,305.3,41.5,315.4689107828886,8731214517,1,0
100,True,5.776,0.9,311.0,41.6,321.25684447470155,8731214517,1,0
101,True,5.814,0.9,316.9,41.6,327.2473013227034,8731214517,1,0
102,True,5.868,0.8,322.9,41.7,333.3381622808302,8731214517,1,0
103,True,5.856,0.8,328.8,41.7,339.32806165704187,8731214517,1,0
104,True,5.878,0.9,334.7,41.8,345.32021975516204,8731214517,1,0
105,True,5.894,0.9,340.5,41.8,351.21733650581683,8731214517,1,0
106,True,5.854,0.9,346.1,41.9,356.9099135130372,8731214517,1,0
107,True,5.604,1.3,350.9,41.9,361.85152188132093,8731214517,1,0
108,True,5.654,1.3,357.0,42.0,368.12615473933147,8731214517,1,0
109,True,5.642,1.6,362.9,42.1,374.2610636412911,8731214517,1,0
110,True,5.696,1.6,369.0,42.2,380.59767715806504,8731214517,1,0
111,True,5.846,1.2,375.4,42.3,387.1589490934274,8731214517,1,0
112,True,6.2,1.2,381.9,42.4,393.827457233015,8731214517,1,0
113,True,6.194,1.2,388.0,42.4,400.08926820201555,8731214517,1,0
114,True,6.142,1.3,393.6,42.5,405.84041868628606,8731214517,1,0
115,True,6.126,1.7000000000000002,399.6,42.6,412.0889291456358,8731214517,1,0
116,True,6.078,1.3,405.8,42.7,418.4553057965594,8731214517,1,0
117,True,5.998,1.3,411.9,42.8,424.7218817973406,8731214517,1,0
118,True,5.916,1.3,417.6,42.8,430.5870283685023,8731214517,1,0
119,True,5.93,1.3,423.3,42.9,436.4531705060699,8731214517,1,0
120,True,5.768,1.8,428.5,43.0,441.8849711143082,8731214517,1,0
121,True,5.748,1.7000000000000002,434.5,43.1,448.1453338629826,8731214517,1,0
122,True,5.702,1.6,440.4,43.2,454.2833440985771,8731214517,1,0
123,True,5.784,1.2,446.5,43.3,460.5433037355579,8731214517,1,0
124,True,5.908,1.2,452.8,43.4,467.0094600322944,8731214517,1,0
125,True,6.088,1.3,458.9,43.4,473.27315318884826,8731214517,1,0
126,True,6.044,1.3,464.7,43.5,479.23340318431934,8731214517,1,0
