time,moving,velocity_smooth,grade_smooth,cadence,distance,altitude,heartrate,grade_adjusted_distance,activity_id,label,mtb
68,True,3.955,0.30000000000000004,16,174.7,5.6,81,177.42687867929024,9574922596,1,0
72,True,3.422,0.0,28,185.0,5.6,79,187.72687867929025,9574922596,1,0
73,True,2.74,0.0,28,188.4,5.6,79,191.12687867929026,9574922596,1,0
75,True,2.6710000000000003,-1.4,25,193.4,5.6,79,196.0167811469869,9574922596,1,0
76,True,2.675,-1.5,25,196.1,5.6,80,198.64727426577434,9574922596,1,0
78,True,2.2800000000000002,-4.0,25,199.8,5.4,85,202.04623959291422,9574922596,1,0
80,True,1.6400000000000001,-1.7000000000000002,25,201.6,5.4,88,203.79069042891044,9574922596,1,0
82,True,1.217,0.8,23,203.4,5.2,93,205.61499486562468,9574922596,1,0
84,True,1.35,-0.8,26,207.9,5.4,91,210.07097560471468,9574922596,1,0
88,True,3.667,-0.6000000000000001,51,225.4,5.6,90,227.4479419061454,9574922596,1,0
93,True,5.156,-0.9,58,254.3,5.0,87,255.96765570429804,9574922596,1,0
95,True,5.929,-1.2,63,266.9,4.8,87,268.333640461583,9574922596,1,0
96,True,5.9879999999999995,-0.30000000000000004,60,273.3,4.8,84,274.7159092201341,9574922596,1,0
99,True,6.467,-0.2,64,293.1,4.8,87,294.4781778625257,9574922596,1,0
103,True,6.729,0.0,50,320.4,4.8,91,321.77817786252564,9574922596,1,0
109,True,6.99,0.0,58,363.0,4.6,90,364.37817786252566,9574922596,1,0
113,True,7.11,0.30000000000000004,52,391.5,4.8,90,392.99696248569114,9574922596,1,0
122,True,7.108,0.30000000000000004,51,455.4,4.8,93,457.1595034657222,9574922596,1,0
129,True,7.256,0.1,60,507.6,5.4,93,509.4363340095808,9574922596,1,0
135,True,7.5,-0.2,53,552.9,5.2,96,554.6403732153939,9574922596,1,0
137,True,7.575,-0.9,58,568.2,5.0,96,569.7494229765962,9574922596,1,0
145,True,7.54,-0.9,59,628.3,4.4,97,629.0931207737721,9574922596,1,0
147,True,7.49,-0.4,53,643.1,4.2,100,643.8445920168209,9574922596,1,0
150,True,7.38,0.9,56,665.2,4.2,100,666.3130643148758,9574922596,1,0
152,True,7.36,1.9,50,679.9,4.6,103,681.751846265072,9574922596,1,0
154,True,7.386,2.4,58,694.8,5.0,100,697.6890039731552,9574922596,1,0
157,True,7.38,0.2,56,716.8,5.6,103,719.7595547468077,9574922596,1,0
158,True,7.367,-0.2,57,724.1,5.6,103,727.0444148545082,9574922596,1,0
163,True,7.367,-0.8,57,761.0,4.8,105,763.5222608282668,9574922596,1,0
166,True,7.375,-0.6000000000000001,57,783.1,4.8,106,785.4587244274574,9574922596,1,0
170,True,7.343,-0.1,55,812.4,4.8,105,814.7296419179287,9574922596,1,0
179,True,7.346,-0.1,54,878.6,4.6,106,880.8612263555725,9574922596,1,0
188,True,7.394,0.1,55,945.5,4.6,107,947.842152269319,9574922596,1,0
